# Farfield Pattern Export
# Frequency [Hz]: 3.000000e+09
# N elements: 8
# Directivity [dBi]: 6.81
Theta [deg.]; Phi [deg.]; Abs(Dir.)[dB]; Abs(F); Phase(F)[deg.]
-90.0000; 0.0000; -200.0000; 0.310329; -171.0586
-89.8200; 0.0000; -60.2205; 0.310331; -171.0600
-89.6400; 0.0000; -54.1998; 0.310336; -171.0640
-89.4600; 0.0000; -50.6778; 0.310345; -171.0708
-89.2800; 0.0000; -48.1788; 0.310358; -171.0803
-89.1000; 0.0000; -46.2402; 0.310374; -171.0925
-88.9200; 0.0000; -44.6562; 0.310394; -171.1074
-88.7400; 0.0000; -43.3168; 0.310417; -171.1251
-88.5600; 0.0000; -42.1564; 0.310444; -171.1454
-88.3800; 0.0000; -41.1328; 0.310475; -171.1684
-88.2000; 0.0000; -40.2170; 0.310509; -171.1942
-88.0200; 0.0000; -39.3884; 0.310546; -171.2226
-87.8400; 0.0000; -38.6318; 0.310587; -171.2538
-87.6600; 0.0000; -37.9357; 0.310631; -171.2876
-87.4800; 0.0000; -37.2910; 0.310679; -171.3241
-87.3000; 0.0000; -36.6907; 0.310730; -171.3634
-87.1200; 0.0000; -36.1291; 0.310784; -171.4053
-86.9400; 0.0000; -35.6014; 0.310841; -171.4499
-86.7600; 0.0000; -35.1037; 0.310902; -171.4972
-86.5800; 0.0000; -34.6328; 0.310966; -171.5472
-86.4000; 0.0000; -34.1860; 0.311033; -171.5998
-86.2200; 0.0000; -33.7608; 0.311103; -171.6551
-86.0400; 0.0000; -33.3553; 0.311176; -171.7131
-85.8600; 0.0000; -32.9678; 0.311252; -171.7738
-85.6800; 0.0000; -32.5966; 0.311331; -171.8371
-85.5000; 0.0000; -32.2404; 0.311412; -171.9031
-85.3200; 0.0000; -31.8981; 0.311497; -171.9717
-85.1400; 0.0000; -31.5686; 0.311584; -172.0430
-84.9600; 0.0000; -31.2510; 0.311674; -172.1169
-84.7800; 0.0000; -30.9445; 0.311766; -172.1934
-84.6000; 0.0000; -30.6482; 0.311860; -172.2726
